street,city,pincode,capacity
Lamington Road,Bil?spur,30020,53000
Link Road,Mathura,11041,17000
Rani Jhansi Road,K?m?rh?ti,78968,83000
Veer Savarkar Marg,Pati?la,69083,78000
M.G. Road,Saugor,52208,97000
Park Avenue,Bij?pur,80080,73000
Queens Road,Brahmapur,28667,63000
Union Street,Sh?hj?npur,30512,27000
Marol Maroshi Road,Trich?r,43175,4000
Hill Road,Barddham?n,64629,11000
Bandra Reclamation,Kulti,59977,96000
Jogeshwari Vikhroli Link Road,Sambalpur,49903,58000
Juhu Tara Road,Purnea,58950,48000
Marine Drive,Hisar,59161,41000
Elphinstone Road,F?roz?b?d,17233,99000
Nariman Point,B?dar,86444,51000
Waterfield Road,R?mpur,50438,69000
Haji Ali,Shiliguri,26248,67000
Kemps Corner,B?li,90713,22000
Colaba Causeway,P?n?pat,20233,69000
Prabhadevi,Kar?mnagar,26728,91000
Opera House,Bhuj,102462,50000
Ballygunge Place,Ichalkaranji,24880,24000
Sudder Street,Tirupati,78425,97000
Chittaranjan Avenue,Hospet,24296,74000
New Alipore,??zawl,53336,61000
Rash Behari Avenue,Sannai,22261,1000
Howrah Bridge,B?r?sat,53139,50000
S.N Banerjee Road,Ratl?m,23414,9000
Bhowanipore,Handw?ra,59393,9000
J.L. Nehru Road,Drug,95482,41000
Lenin Sarani,Imph?l,93607,87000
Taltala,Anantapur,91880,95000
B.B.D Bagh,Et?wah,18079,35000
Free School Street,R?ich?r,16343,66000
Bepin Behari Ganguly Street,Ongole,33922,87000
A.P.C Road,Bharatpur,59755,15000
Raja Ram Mohan Roy Road,Begusarai,87725,44000
C.R Avenue,Son?pat,20265,65000
R.K Mission Road,R?mgundam,102989,32000
Shakespeare Sarani,H?pur,77083,28000
Camac Street,Uluberiya,81054,65000
Chirag Dilli,Porbandar,106826,44000
Hauz Khas Village,P?li,65794,91000
Ghaffar Market,Vizianagaram,104544,85000
Defence Colony,Puducherry,65383,15000
Safdarjung Enclave,Karn?l,87591,93000
Connaught Place,N?gercoil,87216,70000
India Gate,Tanjore,109792,88000
Khan Market,Sambhal,75698,29000
Lajpat Nagar,Naih?ti,99785,66000
Greater Kailash,Secunder?b?d,35765,12000
Karol Bagh,Kharagpur,15774,21000
Paharganj,Dindigul,10295,94000
Raghunathpur Road,Shimla,67051,61000
Vikas Nagar,Ingr?j B?z?r,26341,30000
Navi ,Ellore,46633,81000
Shastri Nagar,Puri,52530,86000
R. K. Puram,Haldia,62326,75000
Nehru Nagar,Nandy?l,41023,70000
"Kanpur Road,",Bulandshahr,92896,13000
Sant Nagar,Chakradharpur,10207,6000
Sainik Nagar,Bhiw?ni,48923,57000
New Aligarh,Gurgaon,28258,82000
R. K. Puram,Burh?npur,102131,16000
Sector 12,Khammam,48502,75000
Indirapuram,Madhyamgram,44346,57000
Kavi Nagar,Gh?nd?nagar,33511,66000
Rajendra Nagar,Baharampur,61194,35000
Sector 19,Mahb?bnagar,71195,51000
Sainik Nagar ,Mahes?na,107756,78000
Vasundhara,?doni,95185,34000
R. K. Puram,R?iganj,77490,16000
Sector 14,Bhus?val,61320,77000
Sainik Nagar,Bahraigh,28562,38000
Kavi Nagar,Shr?r?mpur,58695,70000
Rajendra Nagar,Tonk,60569,89000
"Sector 19, ",Sirsa,34417,62000
"Sainik Nagar, ",Jaunpur,96057,62000
MG Road,Madanapalle,58421,14000
Park Street,Hugli,66970,35000
Linking Road,Vellore,36709,81000
Janpath,Alleppey,56893,56000
Brigade Road,Cuddalore,99649,67000
Church Street,Deo,108040,28000
Main Bazaar,Ch?r?la,40540,92000
Carter Road,Machil?patnam,40912,90000
Hill Road,Medin?pur,84891,52000
Turner Road,Dera,47215,18000
